สถานที่และสถาปัตยกรรม,อารมณ์และความรู้สึก,สัตว์และสิ่งมีชีวิต,อาหารและเครื่องดื่ม,อาชีพและตำแหน่ง,วัตถุและสิ่งของ,ปรากฏการณ์ธรรมชาติ,แนวเพลงและศิลปะ,พรรณไม้และดอกไม้,สีและโทนสี
ลุ่มน้ำโขง,ใจบุญ,หมาป่าแดง,ชาร้อน,พิธีกร,กระเป๋าเป้,ลมหนาว,เพลงบรรเลง,ราตรีสวรรค์,ขาวงาช้าง
ทะเลสาบสงขลา,ใจร้าย,สุนัขจิ้งจอกแคระ,กาแฟร้อน,ยูทูบเบอร์,กระเป๋าเดินทาง,ลมร้อน,เพลงประสานเสียง,บานไม่รู้โรย,เขียวหัวเป็ด
หาดหัวหิน,ใจสู้,นกอินทรีทอง,กาแฟดำ,สตรีมเมอร์,หมวก,อากาศนิ่ง,ดนตรีแจ๊ส,ดาวเรืองใหญ่,แดงเชอร์รี่
หาดชะอำ,ใจเสาะ,นกเหยี่ยว,ลาเต้,นักแคสเกม,ถุงมือ,รังสีความร้อน,ดนตรีคลาสสิก,ลิลลี่พุต,ฟ้าใส
อ่าวนาง,ใจดำ,นกแร้ง,คาปูชิโน่,นักพากย์,ถุงเท้า,คลื่นยักษ์สึนามิ,ดนตรีร็อก,กล้วยไม้ดิน,เหลืองครีม
เกาะสมุย,ใจดี,นกยูงไทย,มอคค่า,ผู้กำกับ,รองเท้าผ้าใบ,แผ่นดินสั่นสะเทือน,ดนตรีป๊อป,ทับทิม,ม่วงตุ่น
เกาะพะงัน,ร้ายกาจ,นกยูงอินเดีย,เอสเพรสโซ่,คนเขียนบท,รองเท้าหนัง,ลมตะวันออกเฉียงเหนือ,ดนตรีพื้นบ้าน,แก้วมุกดา,เทาดำ
เกาะหลีเป๊ะ,ดีงาม,นกขุนทอง,อเมริกาโน่,ช่างไฟ,แว่นตา,ลมตะวันตกเฉียงใต้,ศิลปะจีน,พุดศุภโชค,ขาวขุ่น
หมู่เกาะสิมิลัน,งดงาม,นกเอี้ยง,มัคคิอาโต้,ช่างประปา,แว่นกันแดด,พายุฝนฟ้าคะนอง,ศิลปะญี่ปุ่น,แปรงล้างขวด,เขียวขี้ม้า
หมู่เกาะสุรินทร์,เลอค่า,นกกระจิบ,โกโก้,ช่างไม้,นาฬิกาข้อมือ,เมฆประดับ,ศิลปะอินเดีย,หางนกยูงฝรั่ง,แดงเพลิง
อุทยานเขาสก,ล้ำค่า,นกกระจาบ,ช็อกโกแลตร้อน,ช่างปูน,แหวน,หมอกจาง,ศิลปะอียิปต์,ราชพฤกษ์,ฟ้าหมอก
ถ้ำเชียงดาว,มีค่า,นกพิราบ,ไวท์ช็อกโกแลต,ช่างเหล็ก,สร้อยข้อมือ,แสงอรุณ,ศิลปะโรมัน,ชัยพฤกษ์,เหลืองมะปราง
น้ำตกทีลอซู,ไร้ค่า,นกนางนวล,คุกกี้แอนด์ครีม,ช่างทาสี,ต่างหู,แสงสุดท้าย,ศิลปะกรีก,ศรีตรัง,ม่วงคราม
น้ำตกเอราวัณ,จริงใจ,นกเป็ดน้ำ,วานิลลาลาเต้,สถาปนิกผังเมือง,เข็มขัด,อากาศบริสุทธิ์,ศิลปะร่วมสมัย,แคฝรั่ง,เทาฟ้า
น้ำตกพลิ้ว,หลอกลวง,นกเป็ดเทา,คาราเมลมัคคิอาโต้,วิศวกรสิ่งแวดล้อม,เนกไท,ความดันอากาศ,ศิลปะประยุกต์,กัลปพฤกษ์,ขาวนวล
ทะเลบัวแดง,ซื่อสัตย์,นกหงส์หยก,ชาไทย,นักสมุทรศาสตร์,โบว์,ทิศทางลม,จิตรกรรมไทย,อินทนิลน้ำ,เขียวมะนาว
ภูกระดึง,คดโกง,นกเลิฟเบิร์ด,ชามะลิ,นักดาราศาสตร์,ผ้าพันคอ,แรงลม,ประติมากรรมไทย,เสลา,แดงสด
ผาแต้ม,กตัญญู,นกค็อกคาเทล,ชาอู่หลง,นักธรณีวิทยา,เสื้อยืด,ความเร็วลม,สถาปัตยกรรมไทย,ตะแบกนา,ฟ้าคราม
สามพันโบก,เนรคุณ,นกฟินซ์,ชาดำ,นักชีววิทยา,กางเกงยีนส์,ฝนพร่ำ,วรรณคดีไทย,ยี่โถ,เหลืองอำพัน
ปากน้ำโพ,เมตตา,นกกระจอก,ชาผลไม้,นักเคมี,กระโปรง,หยาดฝน,นาฏศิลป์ไทย,อรพิม,ม่วงเข้ม
บึงบอระเพ็ด,กรุณา,นกเขา,น้ำผลไม้รวม,นักฟิสิกส์,ชุดกระโปรง,ลูกเห็บขนาดเล็ก,ดนตรีไทยเดิม,เล็บมือนาง,เทาเข้ม
ทะเลสาบสงขลา,อำมหิต,นกกระสา,น้ำนิ่ง,นักคณิตศาสตร์,เสื้อกันหนาว,หิมะหนัก,เพลงฉ่อย,พวงแสด,ขาวมุก
แหลมพรหมเทพ,โหดร้าย,นกกระเรียน,น้ำแร่,นักมานุษยวิทยา,เสื้อเชิ้ต,ฟ้าเปิด,ลำตัด,พวงชมพู,เขียวขี้ม้า
หาดทรายแก้ว,อารมณ์เสีย,นกกระทา,น้ำอัดลม,นักสังคมวิทยา,กางเกงขาสั้น,แสงจันทร์วันเพ็ญ,รำวง,พวงคราม,แดงก่ำ
หาดแม่รำพึง,อารมณ์ดี,ไก่ป่า,น้ำโซดา,นักรัฐศาสตร์,ชุดว่ายน้ำ,ดาวเคียงเดือน,หุ่นกระบอก,พวงหยก,ฟ้าอ่อน
อ่าวคุ้งกระเบน,มีพลัง,ไก่ฟ้า,น้ำมะนาวโซดา,นักปรัชญา,ชุดกีฬา,ดาวตก,ละครนอก,สร้อยอินทนิล,เหลืองอ่อน
วังน้ำเขียว,อ่อนแอ,เป็ดไข่,น้ำแดงโซดา,นักภาษาศาสตร์,ชุดสูท,ฝนหลงฤดู,ละครใน,อัญชัน,ม่วงอ่อน
ทุ่งแสลงหลวง,เข้มแข็ง,เป็ดเทศ,น้ำเขียวโซดา,นักโบราณคดี,เนกไท,พายุฤดูร้อน,ลิเกป่า,ต้อยติ่ง,เทาเงิน
ทุ่งดอกกระเจียว,สดชื่น,ห่าน,น้ำส้มโซดา,ภัณฑารักษ์,กระดุม,ลมพัดเอื่อย,หนังใหญ่,บัวบก,ขาวบริสุทธิ์
ป่าคำชะโนด,เหนื่อยล้า,ห่านเทา,ชามะนาวน้ำผึ้ง,มัคคุเทศก์,ซิป,อากาศชื้น,เพลงพื้นบ้าน,ฟ้าทะลายโจร,เขียวอ่อน
ถ้ำนาคา,มีความหวัง,งูเหลือม,ชาเขียวนม,เจ้าหน้าที่ป่าไม้,ด้าย,ความแห้งแล้ง,เพลงกล่อมเด็ก,ขิง,แดงสด
ผาหัวสิงห์,สิ้นหวัง,งูหลาม,ชาเขียวมะลิ,เจ้าหน้าที่ประมง,เข็มหมุด,น้ำท่วม,เพลงแห่นางแมว,ข่า,ฟ้าใส
ม่อนแจ่ม,สนุกสนาน,งูจงอาง,ชาพีช,เจ้าหน้าที่ปศุสัตว์,เข็มเย็บผ้า,แผ่นดินแห้ง,เพลงเกี่ยวข้าว,ตะไคร้,เหลืองนวล
ดอยเสมอดาว,น่าเบื่อ,งูสามเหลี่ยม,ชาลิ้นจี่,สัตวแพทย์,จักรเย็บผ้า,ดินระเบิด (ธรรมชาติ),เพลงเรือ,กะเพรา,ม่วงพาสเทล
อุทยานไทรโยค,ตื่นตาตื่นใจ,งูเขียว,ชากุหลาบ,สัตวบาล,เตารีด,ลาวา,เพลงพวงมาลัย,โหระพา,เทาเมทัลลิก
น้ำตกคอนพะเพ็ง,แปลกประหลาด,งูดิน,ชาอัญชัน,เกษตรกร,โต๊ะรีดผ้า,หินงอก,ดนตรีพื้นเมือง,แมงลัก,ขาวใส
โบโรบูดูร์,อัศจรรย์,งูทะเล,ชาขาว,ชาวไร่,ไม้แขวนเสื้อ,หินย้อย,ศิลปะขอม,ผักชี,เขียวเข้ม
นครธม,มหัศจรรย์,ตะพาบ,น้ำใบเตย,ชาวสวน,ไม้หนีบผ้า,ถ้ำหินปูน,ศิลปะล้านนา,ต้นหอม,แดงเพลิง
ปราสาทบายน,งงงวย,เต่าบก,น้ำเก๊กฮวย,คนสวน,ราวตากผ้า,บ่อน้ำร้อน,ศิลปะอยุธยา,พริก,ฟ้าสว่าง
วิหารทองคำ,เคลิบเคลิ้ม,เต่าทะเล,น้ำรากบัว,คนขับรถบรรทุก,ตะกร้าผ้า,น้ำพุร้อน,ศิลปะรัตนโกสินทร์,มะเขือ,เหลืองไข่
มัสยิดสีน้ำเงิน,คลั่งไคล้,เต่านา,น้ำลำไย,คนขับรถเมล์,กะละมัง,ไกเซอร์,ศิลปะสุโขทัย,มะนาว,ม่วงพาสเทล
อาสนวิหารรีมส์,บูชา,เต่าหับ,น้ำพุทราจีน,คนขับรถแท็กซี่,ถังน้ำ,โพรงถ้ำ,ศิลปะทวารวดี,มะละกอ,เทาเงิน
พระราชวังฤดูหนาว,เคารพ,กิ้งก่า,น้ำกระเจี๊ยบ,คนขับรถตู้,ขันน้ำ,ถ้ำใต้ดิน,ศิลปะศรีวิชัย,กล้วย,ขาวบริสุทธิ์
หอระฆังใหญ่,นับถือ,กิ้งก่าบิน,น้ำมะตูม,คนขับรถไฟ,ฝักบัว,ปากปล่องภูเขาไฟ,ศิลปะลพบุรี,มะม่วง,เขียวอ่อน
กำแพงเบอร์ลิน,ยอมรับ,กิ้งก่าทอง,น้ำใบบัวบก,กัปตันเครื่องบิน,อ่างอาบน้ำ,ลำธาร,ศิลปะเชียงแสน,ส้ม,แดงก่ำ
บันไดสเปน,ปฏิเสธ,จิ้งเหลน,น้ำมะขาม,ต้นหน,ส้วม,น้ำตก,ศิลปะอู่ทอง,สับปะรด,ฟ้าอมเทา
น้ำพุเทรวี,ต่อต้าน,ตุ๊กแกบ้าน,น้ำอ้อย,ลูกเรือ,อ่างล้างหน้า,แก่ง,วรรณกรรมโลก,แตงโม,เหลืองทองคำ
มหาวิหารฟลอเรนซ์,ยินยอม,ตุ๊กแกป่า,น้ำตาลสด,พนักงานต้อนรับบนเครื่องบิน,กระจก,โตรกธาร,มหากาพย์,องุ่น,ม่วงมังคุด
สะพานริอัลโต,ดื้อดึง,แย้,นมถั่วเหลือง,พนักงานต้อนรับบนภาคพื้น,หวี,ชะง่อนผา,นิทานพื้นบ้าน,สตอเบอรี่,ชมพูสด
คลองเวนิส,เชื่อฟัง,สละ,นมอัลมอนด์,ช่างภาพนิ่ง,แปรงสีฟัน,ยอดเขา,ตำนาน,บลูเบอร์รี่,เขียวมรกต
เกาะคาปรี,ภักดี,ตะกวด,นมข้าวโพด,ช่างภาพวิดีโอ,ยาสีฟัน,หน้าผา,นิยายวิทยาศาสตร์,ราสเบอร์รี่,ส้มทอง
มหาวิหารเอสเทอร์กอม,ทรยศ,เหี้ย,นมมะพร้าว,ผู้กำกับภาพ,สบู่,หุบเขา,แฟนตาซี,กีวี่,แดงกุหลาบ
ปราสาทบูดา,หวาดระแวง,แมลงสาบ,นมเม็ดมะม่วงหิมพานต์,ช่างเทคนิคแสง,แชมพู,ที่ราบสูง,สยองขวัญ,มะพร้าว,ฟ้าหม่น
สะพานโซ่,ไว้ใจ,ยุงลาย,นมพิสตาชิโอ,ช่างเทคนิคเสียง,ครีมนวดผม,ที่ราบ,สืบสวนสอบสวน,มะขาม,เหลืองนวล
อาคารรัฐสภาฮังการี,ระวังตัว,ยุงรำคาญ,นมแพะ,ช่างเทคนิคเวที,โฟมล้างหน้า,ทุ่งหญ้า,ผจญภัย,มะไฟ,ม่วงอ่อน
จัตุรัสแดง,เผลอตัว,ยุงก้นปล่อง,นมวัว,ผู้ดูแลเสื้อผ้า,ครีมทาผิว,ป่าดิบชื้น,โรแมนติก,มะปราง,เทาจาง
มหาวิหารเซนต์ไอแซก,พลาดพลั้ง,แมลงวันบ้าน,ไอศกรีมวานิลลา,ช่างแต่งหน้า,แป้งฝุ่น,ป่าเบญจพรรณ,ดราม่า,มะเขือเทศ,ขาวนวล
พระราชวังปีเตอร์ฮอฟ,สำนึกผิด,แมลงวันหัวเขียว,ไอศกรีมช็อกโกแลต,ช่างทำผม,ลิปสติก,ป่าสน,คอมเมดี้,แตงกวา,เขียวใบเตย
พิพิธภัณฑ์เฮอร์มิเทจ,ภูมิใจ,แมลงวันทอง,ไอศกรีมสตรอเบอรี่,สไตลิสต์,ยาทาเล็บ,ป่าชายเลน,แอ็คชั่น,ถั่วฝักยาว,แดงอิฐ
มหาวิหารเซนต์พอล,ละอายใจ,ผึ้งหลวง,ไอศกรีมกะทิ,นักวิจัยตลาด,น้ำหอม,ป่าพรุ,ระทึกขวัญ,ถั่วเขียว,ฟ้ายีนส์
หอคอยบิ๊กเบน,ริษยา,ผึ้งโพรง,ไอศกรีมทุเรียน,นักวางแผนกลยุทธ์,สำลี,ป่าละเมาะ,ปรัชญา,ถั่วแดง,เหลืองดิน
เวสต์มินสเตอร์แอบบีย์,อิจฉา,มิ้ม,ไอศกรีมมะม่วง,นักวิเคราะห์การเงิน,คอตตอนบัด,หาดทราย,ประวัติศาสตร์,ถั่วเหลือง,ม่วงเม็ดมะปราง
สะพานทาวเวอร์บริดจ์,ยินดี,ชันโรง,ไอศกรีมกาแฟ,นายธนาคาร,กรรไกรตัดเล็บ,หาดหิน,ชีวประวัติ,ถั่วดำ,ชมพูอมส้ม
พระราชวังบักกิงแฮม,เสียใจ,ตัวต่อ,ไอศกรีมชาเขียว,โบรกเกอร์,มีดโกน,แหลม,สารคดี,งาขาว,เขียวขี้ม้า
มหาวิหารแคนเทอร์เบอรี,ดีใจ,แตน,เค้กช็อกโกแลต,ตัวแทนอสังหาริมทรัพย์,แผ่นมาส์กหน้า,อ่าว,สถาปัตยกรรม,งาดำ,แดงเลือดนก
ปราสาทเอดินบะระ,ร้องไห้,มดแดง,เค้กวานิลลา,พนักงานขายหน้าร้าน,ไดร์เป่าผม,ทะเล,ประติมากรรม,ข้าวหอมมะลิ,ฟ้าคราม
สโตนเฮนจ์,หัวเราะ,มดดำ,เค้กส้ม,แคชเชียร์,เครื่องหนีบผม,มหาสมุทร,จิตรกรรม,ข้าวเหนียว,เหลืองมัสตาร์ด
กำแพงเฮเดรียน,ยิ้ม,มดตะนอย,เค้กใบเตย,พนักงานคลังสินค้า,เครื่องดูดฝุ่น,ร่องลึกก้นสมุทร,ภาพพิมพ์,ข้าวไรซ์เบอร์รี่,ม่วงลาเวนเดอร์
มหาวิหารยอร์ก,บึ้งตึง,มดคันไฟ,เค้กเนย,พนักงานขับรถส่งของ,ไม้กวาด,ไหล่ทวีป,สื่อผสม,ข้าวกล้อง,เทาถ่าน
วิหารลินคอล์น,บ้าคลั่ง,ผีเสื้อกลางวัน,คัพเค้ก,พนักงานรับส่งเอกสาร,ที่ตักผง,เกาะ,ศิลปะดิจิทัล,ข้าวโพด,ขาวมุก
ปราสาทวอร์ริค,มีสติ,ผีเสื้อกลางคืน,บราวนี่,แม่บ้าน,ถังขยะ,หมู่เกาะ,วิดีโออาร์ต,ข้าวสาลี,เขียวมะกอก
วิหารกลอสเตอร์,สมาธิ,แมลงปอเข็ม,มาการอง,พ่อบ้าน,ถูพื้น,อะตอล,ศิลปะจัดวาง,ข้าวโอ๊ต,แดงทับทิม
วิหารเดอแรม,ฟุ้งซ่าน,แมลงปอบ้าน,โดนัทเคลือบน้ำตาล,คนสวน,ผ้าขี้ริ้ว,แนวปะการัง,กราฟฟิตี้,ข้าวบาร์เลย์,ฟ้าอมเขียว
วิหารเอลี,สงบเสงี่ยม,แมลงช้าง,โดนัทช็อกโกแลต,พนักงานรักษาความปลอดภัย,ฟองน้ำ,ภูเขาใต้น้ำ,สตรีทอาร์ต,ลูกเดือย,เหลืองขมิ้น
ปราสาทคาร์ดิฟฟ์,เยือกเย็น,แมลงทับ,เครป,เจ้าหน้าที่ประสานงาน,แปรงขัดพื้น,กระแสน้ำอุ่น,ป๊อปอาร์ต,ถั่วลิสง,ม่วงดอกรัก
ปราสาทคอนวี,ร้อนรุ่ม,ตั๊กแตนกิ่งไม้,วาฟเฟิล,เลขานุการ,น้ำยาถูพื้น,กระแสน้ำเย็น,คิวบิสม์,เมล็ดทานตะวัน,เทาอ่อน
ปราสาทคาร์นาร์วอน,สุขสันต์,ตั๊กแตนใบไม้,แพนเค้ก,ธุรการ,น้ำยาล้างจาน,กระแสน้ำเลียบฝั่ง,เซอเรียลลิสม์,เมล็ดฟักทอง,ขาวงาช้าง
ปราสาทบีวมาริส,ทุกข์ทน,จิ้งหรีดทอง,ขนมปังปิ้ง,พนักงานบุคคล,ผงซักฟอก,คลื่นหัวแตก,อิมเพรสชันนิสม์,เมล็ดแตงโม,เขียวหัวเป็ด
มหาวิหารเซนต์เดวิด,หรรษา,จิ้งหรีดทองแดง,แซนด์วิชแฮมชีส,พนักงานบัญชี,น้ำยาปรับผ้านุ่ม,ทะเลคลั่ง,บารอก,เมล็ดบัว,แดงเชอร์รี่
ปราสาทสเตอร์ลิง,รื่นเริง,แมงมุมบ้าน,แซนด์วิชทูน่า,นักกฎหมาย,ตะกร้าสะพาย,ทะเลเรียบ,ร็อคโกโก,เกาลัด,ฟ้าใส
มหาวิหารกลาสโกว์,บันเทิง,แมงมุมใยกลม,เบอร์เกอร์เนื้อ,ที่ปรึกษากฎหมาย,สุ่มไก่,ลมแรง,กอธิค,อัลมอนด์,เหลืองครีม
วิหารเซนต์ไจลส์,เบิกบาน,แมงมุมกระโดด,เบอร์เกอร์ไก่,ทนายความความ,ข้องใส่ปลา,ลมสงบ,นีโอคลาสสิก,วอลนัท,ม่วงตุ่น
ปราสาทดันนอททาร์,ปรีดา,บึ้ง,ฮอทดอก,อัยการ,แหย่ง,อากาศเย็น,โรแมนติก,แมคคาเดเมีย,เทาดำ
ปราสาทเอนเวอเรส,เปรมปรีดิ์,แมงป่องบ้าน,เฟรนช์ฟรายส์,ผู้พิพากษา,ไถ,อากาศหนาวจัด,เรียลลิสม์,เมล็ดกาแฟ,ขาวขุ่น
มหาวิหารเซนต์แอนดรูว์,ปราโมทย์,แมงป่องป่า,นักเก็ตไก่,ตำรวจจราจร,เคียว,หิมะแรก,เอ็กซ์เพรสชันนิสม์,ใบชา,เขียวขี้ม้า
มหาวิหารอีวรี,โสมนัส,ตะขาบบ้าน,ไก่ทอดหาดใหญ่,ตำรวจสายตรวจ,จอบ,ฝนแรก,นามธรรม,กัญชา,แดงเพลิง
มหาวิหารอาเมียง,พึงพอใจ,ตะขาบป่า,ส้มตำซั่ว,ตำรวจสืบสวน,เสียม,ลมพายุ,โมเดิร์น,กะเพราแดง,ฟ้าหมอก
มหาวิหารแร็งส์,ภูมิใจ,กิ้งกือแดง,ส้มตำไข่เค็ม,ทหารบก,พลั่ว,พายุไซโคลน,คอนเทมโพรารี,กะเพราขาว,เหลืองมะปราง
มหาวิหารชาทร์,มั่นใจ,กิ้งกือกระสุน,ลาบเนื้อ,ทหารเรือ,คราด,พายุไต้ฝุ่น,แฟชั่น,แมงลัก,ม่วงคราม
มหาวิหารบูร์ฌ,ฮึกเหิม,ทากดูดเลือด,น้ำตกเนื้อ,ทหารอากาศ,บัวรดน้ำ,พายุเฮอริเคน,กราฟิก,โหระพา,เทาฟ้า
มหาวิหารโบแว,กล้าหาญ,ปลิง,ตับหวาน,ตำรวจตระเวนชายแดน,กรรไกรตัดหญ้า,พายุดีเปรสชัน,ภาพถ่าย,ตะไคร้หอม,ขาวนวล
มหาวิหารเล็อง,เด็ดเดี่ยว,ไส้เดือนดิน,ซุปหน่อไม้,นักดับเพลิง,เลื่อยลันดา,พายุโซนร้อน,แอนิเมชัน,สะระแหน่,เขียวมะนาว
มหาวิหารนัวยง,แน่วแน่,เพลี้ย,ไส้กรอกอีสาน,พนักงานกู้ภัย,กบไสไม้,ฟ้าหลัว,การ์ตูน,ผักชีฝรั่ง,แดงสด
มหาวิหารซ็องลิส,มุ่งมั่น,มอด,ไข่เจียวปู,แพทย์ผ่าตัด,สว่าน,ฟ้าใส,นิยาย,ผักชีลาว,ฟ้าคราม
มหาวิหารซัวซง,จริงจัง,ปลวกไม้,ไข่ดาว,กุมารแพทย์,ไขควงปากแบน,เมฆน้อย,กวี,ยี่หร่า,เหลืองอำพัน
มหาวิหารตูร์,เคร่งเครียด,แมลงทับ,ไข่ต้ม,วิสัญญีแพทย์,ไขควงแฉก,เมฆมาก,ดนตรี,ผักแพว,ม่วงเข้ม
มหาวิหารน็องต์,เคร่งขรึม,แมลงนูน,ไข่ลวก,อายุรแพทย์,ค้อนหงอน,ฝนตก,ศิลปะ,ชะพลู,เทาเข้ม